,X1Procedurální,X2Procedurální,X3Rovnost,X4Potøeby,X5Potøeby,X6Procedurální,X7Procedurální,X8Procedurální,X9Potøeby,X10Rovnost,X11Potøeby,X12Zásluhy,X13Zásluhy,X14Rovnost,X15Rovnost,X16Potøeby,X17Rovnost,X18Potøeby,X19Zásluhy,X20Zásluhy,X21Zásluhy,X22Rovnost,X23Procedurální,X24Procedurální,X25Zásluhy,X26Procedurální
1,7,7,4,4,3,3,5,7,1,7,2,7,7,6,6,6,6,2,7,7,7,7,1,2,5,6
2,6,5,7,5,6,5,7,6,3,5,4,5,4,6,7,5,5,4,4,4,5,6,6,7,4,6
3,6,6,4,6,4,6,7,7,2,5,3,5,6,2,2,6,2,6,6,6,6,6,6,6,7,7
4,7,7,5,7,7,6,7,7,3,7,3,4,6,5,7,7,5,6,6,6,5,5,7,7,7,7
5,7,7,5,4,4,5,7,7,2,4,4,7,7,3,4,6,3,5,6,7,7,4,5,6,6,7
6,7,6,5,4,5,4,7,7,4,4,4,5,7,6,5,6,4,5,7,7,7,7,6,7,7,7
7,7,7,2,4,5,6,7,7,2,6,3,6,6,3,4,7,5,4,6,6,6,7,7,7,7,6
8,7,6,5,4,5,7,4,6,2,4,2,7,6,7,7,5,6,6,5,5,6,7,4,3,5,7
9,7,6,6,4,5,6,6,6,4,6,4,5,5,5,6,5,5,4,5,6,6,6,7,5,6,6
10,7,7,7,7,6,7,7,7,6,6,4,3,6,5,7,6,4,6,7,7,4,7,7,6,7,7
11,6,7,2,1,7,5,7,7,4,4,6,5,6,2,6,6,7,4,6,4,5,6,5,5,4,7
12,7,7,7,7,7,5,6,6,3,6,6,7,7,3,6,6,5,7,6,6,6,3,6,6,5,5
13,7,7,7,5,5,7,7,7,3,7,5,6,6,6,7,7,3,5,6,7,7,7,7,7,7,7
14,7,5,5,7,7,7,7,7,7,7,7,5,7,7,5,7,2,7,7,5,7,5,7,7,7,2
15,6,3,5,4,6,3,7,7,2,2,5,7,5,3,7,7,1,3,5,6,6,7,5,7,6,7
16,7,7,5,7,5,7,7,7,4,5,5,6,7,6,7,7,5,6,6,7,5,6,7,7,5,7
17,7,6,3,4,5,3,6,6,5,4,5,6,6,6,7,5,3,3,6,6,5,7,6,5,6,5
18,6,5,6,5,5,6,7,7,5,5,7,6,6,5,6,6,6,6,7,5,7,6,7,6,6,7
19,5,7,7,5,5,6,7,7,4,7,2,4,6,6,7,5,5,5,5,5,5,6,6,6,6,4
20,5,7,4,4,4,3,5,5,3,4,3,5,6,4,4,3,4,5,5,5,6,5,5,5,5,4
21,6,6,5,5,6,7,7,7,6,4,2,4,7,4,3,6,1,7,7,7,7,6,7,6,7,4
22,7,7,4,4,4,7,6,7,6,3,2,7,6,6,7,5,5,3,7,7,7,7,6,7,7,7
23,6,4,6,6,5,7,7,6,6,5,4,4,5,6,3,6,6,6,5,5,6,6,6,7,6,5
24,5,5,5,4,6,5,6,6,2,6,1,5,5,6,6,5,3,6,6,6,5,3,6,5,5,6
25,6,5,3,5,5,5,7,6,6,6,4,3,6,5,3,7,2,7,7,6,6,6,6,3,7,5
26,7,6,3,3,2,5,6,6,2,6,5,5,6,6,6,6,6,5,7,6,6,7,4,7,5,6
27,6,6,4,6,4,5,6,7,3,7,5,7,7,5,3,5,6,3,7,7,7,7,6,7,7,7
28,6,5,5,5,4,4,6,5,4,6,3,3,6,5,4,6,5,5,7,6,6,6,5,5,6,5
29,7,5,3,5,6,5,5,6,4,5,5,6,7,3,7,7,2,5,6,6,7,6,5,5,6,6
30,7,6,5,1,2,6,6,6,4,7,2,6,6,6,7,6,7,2,6,6,6,7,6,7,6,6
31,6,4,4,6,6,4,6,6,4,3,5,6,6,4,3,6,3,7,7,6,6,4,5,6,6,7
32,5,6,4,6,5,6,7,7,5,7,4,5,6,7,6,6,4,5,6,6,6,5,4,4,5,6
33,7,6,3,4,5,4,7,5,3,3,5,6,7,3,3,5,5,3,6,6,7,6,6,6,7,6
34,7,5,6,5,5,5,6,6,5,6,4,5,4,5,6,5,4,4,5,4,4,6,6,6,5,5
35,5,7,5,6,4,4,6,7,2,7,3,4,5,7,7,5,3,3,5,6,6,3,4,3,6,7
36,6,6,5,7,6,3,6,6,4,6,2,5,6,6,7,7,6,6,6,6,6,6,5,7,7,5
37,6,6,6,3,4,3,6,6,2,5,2,2,6,5,5,5,5,2,6,6,6,6,6,5,5,6
38,7,7,7,6,6,7,7,7,6,7,3,7,7,5,5,7,6,6,7,7,7,7,7,7,7,7
39,6,6,7,5,5,7,7,7,3,7,5,7,7,7,5,6,6,4,7,7,7,6,4,5,7,7
40,6,7,1,4,6,7,7,7,1,3,3,1,7,2,2,7,1,7,7,7,7,1,1,7,7,1
41,6,7,5,6,5,6,7,7,1,6,2,7,7,6,7,6,2,5,6,5,7,7,6,6,7,7
42,5,7,1,5,4,4,7,7,2,4,6,7,7,3,6,6,3,5,5,7,7,5,4,7,7,2
43,6,6,3,4,5,6,6,6,2,4,2,6,6,5,5,5,4,5,5,6,5,5,6,6,6,7
44,6,5,3,5,3,5,5,5,3,6,3,5,6,5,6,6,6,6,6,6,6,6,5,6,6,5
45,6,5,5,4,4,5,7,7,6,6,3,6,6,6,6,5,3,4,6,7,7,6,6,5,6,6
46,7,7,5,4,6,4,7,7,1,4,1,5,5,4,4,5,4,4,5,6,6,7,6,7,6,7
47,7,7,4,5,6,2,6,7,4,3,6,7,7,3,7,7,1,7,7,7,7,7,4,1,7,7
48,6,5,4,3,4,6,7,7,4,4,1,5,6,6,5,5,5,3,6,5,6,6,4,7,5,6
49,7,5,5,4,4,5,7,7,4,5,6,6,7,5,5,6,3,5,7,7,7,6,7,6,7,6
50,7,7,6,5,3,7,7,7,6,6,4,6,7,6,7,6,6,5,6,6,6,7,7,7,7,7
51,6,6,5,4,5,4,7,6,3,4,5,6,7,4,3,5,3,4,6,7,6,6,6,6,6,5
52,6,4,3,6,5,4,7,7,2,4,3,2,6,6,6,2,7,2,6,4,5,7,6,4,5,6
53,7,6,6,5,4,7,5,7,6,4,2,5,7,5,4,6,7,5,7,7,7,6,7,6,7,7
54,6,5,6,3,5,6,6,6,2,6,5,5,6,5,6,6,6,3,6,6,6,5,5,5,6,6
55,7,6,7,5,6,6,7,7,6,6,4,5,6,5,7,6,6,6,5,6,5,7,6,6,6,7
56,5,7,3,4,2,5,3,7,1,1,1,7,5,3,3,6,2,5,5,6,5,5,3,6,6,7
57,5,6,6,4,5,6,7,6,4,6,6,4,5,7,4,7,5,6,6,6,6,7,5,7,6,6
58,5,6,6,4,5,6,7,6,4,6,6,4,5,7,4,7,5,6,6,6,6,7,5,7,6,6
59,7,4,4,6,4,6,7,6,4,5,4,6,7,4,5,7,4,6,6,6,6,6,4,5,6,6
60,7,7,4,4,4,7,7,7,4,4,3,5,7,4,4,6,4,5,6,6,7,6,7,6,6,7
61,6,5,6,4,4,5,6,6,4,5,5,5,6,7,7,7,5,4,5,5,6,6,7,5,7,6
62,7,7,7,6,4,6,7,7,4,7,5,5,7,7,7,6,7,5,7,6,7,7,7,6,6,7
63,6,5,7,6,6,4,7,5,4,7,4,4,6,7,6,6,5,4,6,6,6,7,7,6,6,4
64,7,6,5,5,5,4,7,7,1,7,3,7,5,7,7,6,7,3,6,5,5,7,7,5,7,7
65,7,7,7,6,6,5,6,7,5,6,4,7,7,7,6,6,2,6,7,6,6,7,6,7,5,7
66,4,6,5,3,3,5,7,6,1,5,3,5,5,6,6,5,5,4,5,6,6,7,5,5,5,7
67,7,6,5,3,3,5,6,7,2,6,5,5,5,7,6,6,6,4,5,5,5,6,6,5,5,7
68,5,6,5,5,4,6,6,6,5,4,5,4,5,5,5,6,3,6,5,5,5,6,5,5,6,6
69,7,7,7,6,6,6,7,7,7,6,5,6,7,7,6,7,7,5,7,7,7,7,7,7,7,7
70,7,7,5,5,4,7,7,7,1,5,1,6,5,6,6,2,6,3,7,7,7,7,7,5,7,6
71,6,7,6,6,3,5,7,6,3,6,4,5,6,7,6,4,3,4,6,7,6,7,6,7,6,7
72,6,5,5,6,4,6,6,5,3,4,2,6,6,7,4,4,3,6,6,6,7,6,4,6,7,7
73,5,7,7,6,6,6,6,6,4,6,4,5,5,6,5,6,6,3,6,6,6,6,6,6,6,5
74,7,5,6,7,4,5,6,6,2,6,1,7,7,7,7,5,4,1,5,7,7,6,5,6,7,6
75,6,2,2,6,5,2,3,6,5,1,5,4,5,3,6,7,5,5,4,7,5,5,5,7,6,5
76,7,7,7,6,7,6,6,7,6,6,5,7,7,6,5,6,6,5,7,7,7,6,6,6,7,7
77,5,7,6,5,6,4,3,7,3,2,1,4,6,3,6,7,3,4,6,6,6,7,6,6,6,7
78,6,6,3,4,5,5,7,7,4,5,5,5,5,5,4,6,5,4,5,5,5,6,5,6,5,7
79,7,7,7,7,6,7,7,7,7,7,7,4,4,7,4,6,3,6,4,5,5,6,7,7,5,7
80,5,5,4,4,5,5,4,7,3,5,3,5,6,5,5,6,3,6,6,7,6,7,6,5,6,5
81,6,6,5,4,4,4,7,6,3,4,3,5,7,5,5,7,3,5,6,6,7,5,5,6,6,5
82,7,7,7,4,3,7,7,7,2,7,2,5,6,7,7,5,7,4,6,5,7,7,6,7,6,6
83,6,5,4,7,5,5,6,6,6,5,6,7,7,5,5,6,1,7,7,6,7,5,6,7,7,5
84,7,7,3,5,4,3,6,6,2,4,5,6,6,6,5,6,6,3,5,5,5,6,4,6,6,6
85,6,7,6,5,5,5,4,7,3,5,3,6,7,7,7,6,5,5,6,6,6,7,6,5,7,7
86,6,7,3,4,5,2,4,6,2,5,2,6,6,6,6,6,4,3,6,4,6,7,3,5,4,6
87,6,6,4,3,6,3,7,6,7,4,5,7,5,2,2,6,6,6,5,6,4,6,5,5,7,5
88,7,7,3,5,5,5,7,7,5,6,6,4,5,3,3,5,3,6,5,5,7,5,7,6,6,7
89,6,5,5,4,5,3,6,6,3,6,5,6,6,5,5,5,3,3,6,6,6,5,6,6,6,5
90,4,6,3,3,5,4,5,5,3,4,2,5,5,4,6,4,3,5,5,5,5,5,6,4,5,4
91,4,7,7,5,6,7,7,7,5,7,7,7,7,7,6,7,2,6,7,7,7,7,7,5,6,5
92,7,4,5,1,6,4,4,7,6,4,7,7,7,4,6,7,3,7,7,4,7,7,4,5,4,7
93,7,4,5,4,3,4,7,6,3,3,3,5,7,4,7,6,6,4,7,4,7,7,4,6,4,7
94,7,4,4,3,4,6,6,6,5,6,5,3,5,5,2,5,4,4,6,6,6,5,6,7,6,7
95,7,7,6,3,6,7,7,7,5,7,6,5,7,6,7,7,1,6,7,7,7,7,7,7,7,7
96,7,7,7,4,4,6,7,7,1,7,4,7,4,6,6,5,7,5,6,6,6,7,7,5,7,7
97,7,7,6,5,5,6,7,7,4,7,6,7,7,6,5,7,4,4,6,4,7,7,7,7,6,7
98,7,7,7,6,3,4,7,7,5,7,6,4,7,7,7,7,3,7,7,7,7,7,7,7,7,7
99,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,6,6,7,7,7,7,7
100,7,7,3,1,4,5,7,7,1,5,6,5,5,5,4,5,5,3,6,6,6,7,7,6,6,7
101,6,7,5,3,4,5,7,7,3,7,3,5,5,5,7,3,6,5,5,5,5,7,6,5,5,7
102,6,5,7,6,5,4,6,6,5,5,2,5,5,6,7,5,4,4,4,4,5,4,5,5,5,5
103,2,7,2,3,6,2,6,7,1,2,6,2,5,2,2,6,2,2,4,6,5,4,7,5,5,7
104,6,5,5,4,4,6,7,7,5,6,4,4,5,6,5,6,5,4,5,5,5,6,6,7,5,6
105,6,7,7,6,7,7,7,7,5,4,5,6,6,5,5,6,3,5,5,6,7,7,7,7,7,5
106,7,6,6,4,5,6,6,6,4,6,3,5,5,5,6,6,4,6,5,5,5,6,7,6,6,7
107,6,6,5,7,6,7,7,7,5,7,3,6,7,6,6,5,6,5,7,6,7,7,7,7,6,6
108,7,7,7,6,5,4,3,7,1,6,2,3,5,7,7,6,6,6,6,6,6,6,6,6,6,6
109,7,5,7,5,4,3,6,7,5,7,5,5,6,4,4,5,5,5,5,7,7,7,7,3,7,7
110,6,7,7,6,5,6,6,6,4,7,5,5,6,4,5,5,6,3,6,7,7,5,5,6,7,6
111,7,7,4,5,5,7,7,7,7,7,5,5,5,6,6,4,4,2,5,6,6,7,7,4,5,7
112,6,7,6,4,5,6,7,7,3,7,3,4,5,6,5,5,3,3,4,4,5,6,6,5,5,6
113,6,7,6,2,4,5,5,7,2,7,4,6,5,7,7,5,6,3,6,6,6,6,5,6,5,4
114,6,5,4,6,7,6,6,4,4,6,4,6,6,4,7,7,3,4,6,4,6,6,4,7,6,6
115,7,7,7,4,6,6,7,7,3,6,6,6,6,6,6,5,1,6,5,7,6,6,6,7,6,6
116,7,7,4,4,5,6,7,7,1,4,4,6,6,3,4,1,4,1,5,5,5,5,7,7,6,6
117,6,7,6,5,5,6,6,7,5,6,4,5,6,6,6,6,3,7,6,6,6,7,7,5,6,6
118,7,7,5,3,5,5,6,6,3,2,4,6,7,3,5,7,3,5,6,7,7,5,5,6,6,6
119,7,7,7,4,4,6,4,6,3,6,4,5,5,7,6,6,6,5,4,7,4,7,7,6,6,7
120,6,5,5,5,5,6,6,6,5,5,5,5,5,5,4,5,4,5,5,5,5,5,6,6,6,6
121,6,6,4,5,4,5,6,6,4,5,3,5,3,5,5,6,3,5,5,6,6,6,6,6,6,5
122,7,7,5,5,4,6,6,7,2,5,3,5,7,6,5,5,4,2,6,7,6,4,7,7,6,7
123,4,5,3,4,2,2,6,6,2,6,6,6,6,6,6,5,6,4,6,6,6,6,4,5,6,6
124,7,7,5,4,5,6,7,7,2,7,2,3,5,7,5,6,2,5,6,7,6,5,7,7,7,6
125,4,5,3,4,2,3,5,6,2,5,6,6,6,5,6,5,6,3,5,5,6,6,4,5,6,6
126,7,7,4,6,7,6,7,7,6,6,4,5,5,4,4,6,4,4,7,6,6,6,6,6,6,6
127,6,6,5,4,5,4,6,5,4,5,5,3,5,5,4,6,3,6,5,5,5,6,4,6,5,5
128,6,6,5,4,5,5,7,7,4,6,4,3,6,6,5,7,5,6,6,5,7,5,6,7,5,5
129,6,6,5,7,7,6,6,6,6,3,5,6,6,3,3,6,2,6,6,6,6,4,6,6,7,6
130,7,5,5,3,5,6,7,5,1,6,5,7,5,6,3,5,4,4,2,4,6,3,4,5,3,6
131,7,6,5,4,4,6,7,7,4,7,1,5,6,6,7,6,4,2,6,6,7,2,6,4,7,6
132,6,7,6,6,5,6,7,6,4,7,6,4,5,6,7,6,4,6,6,6,6,6,6,6,5,7
133,7,7,5,6,6,7,7,7,6,7,5,4,5,4,6,6,5,5,5,5,5,5,6,5,6,7
134,7,6,5,5,5,5,7,7,3,5,3,5,6,4,7,4,7,5,7,7,6,4,6,6,6,7
135,6,4,5,6,5,4,7,6,3,7,2,6,6,7,3,6,7,5,6,6,6,6,7,6,5,4
136,6,5,2,6,5,6,7,5,2,7,2,5,6,5,6,5,3,5,7,7,6,6,7,6,6,7
137,4,4,6,2,4,3,7,6,1,4,2,3,5,4,5,5,6,1,5,5,5,5,5,6,6,7
138,7,7,5,4,6,5,4,7,2,5,5,6,5,4,5,4,4,3,4,6,2,5,5,7,4,6
139,4,7,5,6,7,6,7,7,6,6,3,5,6,3,1,6,3,6,6,6,7,5,6,5,7,7
140,7,6,6,7,6,6,7,7,6,7,4,4,5,7,6,7,3,7,6,6,6,7,6,4,6,7
141,6,4,4,6,5,4,6,5,5,5,5,5,6,4,5,5,2,6,6,6,6,5,4,6,5,5
142,6,4,2,6,5,6,7,7,6,6,4,4,6,5,4,5,4,5,6,6,6,6,6,7,7,5
143,6,5,6,4,4,6,7,7,3,6,4,5,6,6,6,5,6,4,6,6,6,6,6,6,6,7
144,6,6,4,5,2,6,6,6,3,5,4,5,6,6,5,5,4,3,6,5,5,7,6,5,5,6
145,7,7,5,7,7,5,7,7,6,6,7,7,7,5,3,7,2,7,7,7,7,6,7,7,5,6
146,6,5,4,3,5,5,6,7,3,5,3,5,6,3,6,6,3,6,6,6,6,6,5,6,6,7
147,5,4,4,4,5,4,4,6,3,6,5,4,4,5,1,5,2,5,5,4,4,5,6,6,4,5
148,6,6,4,5,3,5,5,6,5,6,5,5,5,4,2,5,5,6,5,5,6,5,6,6,6,5
149,5,5,6,3,4,3,7,6,2,5,2,5,5,7,6,4,4,5,6,6,5,7,7,6,6,5
150,7,6,5,6,4,5,5,7,5,6,5,6,4,6,6,6,5,5,6,6,6,5,4,7,4,6
151,6,6,6,7,4,5,6,6,4,5,4,5,5,5,5,6,5,5,6,6,6,6,6,5,5,5
152,6,7,4,4,4,5,7,3,2,4,2,6,6,6,6,3,4,3,6,5,5,6,6,6,6,5
153,6,7,2,5,5,6,7,7,3,7,5,7,7,5,5,7,1,7,7,7,7,6,7,7,5,1
154,6,7,6,4,5,5,4,7,3,5,3,5,5,4,5,5,6,3,5,5,5,5,5,5,6,7
155,7,6,5,6,5,6,5,6,4,4,6,6,6,4,4,6,3,5,6,6,6,5,6,7,6,6
156,6,6,3,3,6,5,7,6,4,7,4,6,6,7,7,6,7,6,7,5,7,7,7,7,6,5
157,7,6,4,6,5,6,6,6,3,5,5,6,7,5,7,6,3,5,6,6,7,6,5,6,6,6
158,6,5,4,5,4,5,6,6,5,5,3,6,5,5,6,6,4,4,5,6,5,5,6,6,6,6
159,6,7,5,4,5,6,6,7,5,5,5,6,7,5,4,5,3,4,7,7,7,6,6,7,7,7
160,5,6,4,5,3,2,7,7,2,6,4,5,7,6,6,7,5,4,6,5,7,5,6,7,6,5
161,6,5,6,4,4,4,5,5,3,5,5,5,5,6,4,4,5,3,6,4,5,7,6,5,5,7
162,7,7,4,4,4,6,6,7,4,4,4,6,7,6,7,5,6,4,7,7,7,6,6,6,7,7
163,7,7,6,5,3,6,6,7,3,7,1,4,3,7,3,3,6,3,4,4,4,7,7,5,5,5
164,6,6,5,6,5,6,6,6,3,6,4,5,4,6,5,6,4,4,6,5,6,6,7,4,6,7
165,6,5,3,3,3,6,6,6,2,6,5,6,6,6,3,6,3,5,6,6,6,6,6,7,6,6
166,6,7,7,5,5,4,6,7,2,6,5,6,6,6,4,6,3,5,6,6,6,3,6,5,4,6
167,7,7,6,5,6,6,7,7,4,6,3,5,6,4,5,6,3,6,6,7,6,6,7,3,7,5
168,7,7,5,6,5,7,7,7,3,5,2,5,5,6,6,6,3,5,5,6,6,7,6,6,5,7
169,4,6,3,4,4,5,6,6,2,4,1,5,4,4,5,5,3,3,5,5,6,5,5,5,5,5
170,7,4,2,4,5,5,7,4,1,2,1,4,4,1,2,7,2,2,2,4,2,2,1,6,7,6
171,6,5,4,5,5,3,5,5,4,5,3,5,6,7,5,5,3,6,6,5,6,3,6,5,6,4
