,X1Procedurální,X2Procedurální,X3Rovnost,X4Potøeby,X5Potøeby,X6Procedurální,X7Procedurální,X8Procedurální,X9Potøeby,X10Rovnost,X11Potøeby,X12Zásluhy,X13Zásluhy,X14Rovnost,X15Rovnost,X16Potøeby,X17Rovnost,X18Potøeby,X19Zásluhy,X20Zásluhy,X21Zásluhy,X22Rovnost,X23Procedurální,X24Procedurální,X25Zásluhy,X26Procedurální
172,6,6,6,6,5,6,6,6,5,6,5,6,5,6,6,6,4,5,6,6,5,6,6,6,5,6
173,6,5,6,5,4,5,6,7,3,6,4,4,5,6,6,6,4,5,6,6,7,7,6,6,6,7
174,7,7,3,2,3,7,7,5,3,7,3,3,7,6,5,5,4,5,7,6,7,7,7,7,7,6
175,7,7,7,6,4,4,7,6,2,4,3,5,4,6,4,7,4,6,6,6,4,7,6,7,6,7
176,7,5,3,6,6,6,4,7,2,6,5,6,7,6,7,7,1,6,7,7,7,7,6,6,6,5
177,6,6,4,6,5,3,7,7,5,7,5,6,7,5,5,3,3,4,7,7,7,7,7,6,6,6
178,5,4,2,5,5,5,7,6,3,5,6,5,5,3,5,6,3,6,5,5,5,3,3,6,5,5
179,7,7,4,4,5,6,7,7,3,4,5,5,6,6,5,5,3,7,6,7,6,7,6,6,7,6
180,6,7,5,6,5,4,6,7,5,5,5,5,5,5,5,5,3,5,6,6,7,6,6,7,7,7
181,7,7,3,5,4,7,1,7,3,3,5,5,7,3,7,7,2,6,7,7,7,6,7,7,7,7
182,6,5,4,5,5,4,7,6,3,5,2,6,6,4,4,3,5,5,6,6,5,5,6,4,4,6
183,7,6,5,5,5,6,7,7,4,7,5,5,6,6,6,6,3,6,6,6,6,6,7,6,7,6
184,6,6,6,4,5,5,6,6,4,6,3,4,4,5,5,6,3,4,5,5,5,6,6,6,6,7
185,6,7,5,7,7,7,7,7,5,7,5,7,7,5,7,7,2,6,7,7,7,7,7,7,7,4
186,7,6,7,7,7,5,6,5,6,5,5,6,6,7,4,7,7,5,6,5,6,6,6,6,7,7
187,6,5,5,6,4,3,6,7,6,6,5,5,6,6,5,7,3,7,6,6,7,6,5,6,6,6
188,6,6,6,2,6,6,6,5,5,4,5,6,6,6,5,6,6,3,5,6,5,7,6,6,6,6
189,7,7,5,5,5,7,7,7,5,7,5,7,7,3,4,4,3,5,7,7,7,6,7,7,7,7
190,5,6,7,4,6,6,7,6,3,6,5,4,6,6,6,6,4,4,6,6,6,7,4,6,6,7
191,6,7,6,5,6,6,7,4,7,7,3,7,7,2,3,6,1,6,7,6,7,7,7,7,6,5
192,6,6,4,4,4,4,7,7,4,4,2,6,6,4,5,5,4,2,6,4,4,6,7,6,6,7
193,7,6,7,4,5,2,7,7,1,5,1,6,6,7,5,7,6,6,3,2,2,7,6,6,6,7
194,5,5,6,6,6,4,6,4,5,5,5,4,6,5,5,5,3,5,5,5,5,5,5,5,5,6
195,6,5,4,5,5,4,6,6,4,4,3,5,6,6,5,6,3,5,6,6,6,7,4,5,5,4
196,6,7,5,5,4,2,6,7,3,7,2,4,5,7,4,5,5,4,6,6,6,5,5,7,7,3
197,4,7,6,6,6,7,7,7,7,3,6,6,6,4,5,7,3,6,6,1,6,6,7,6,6,7
198,7,7,5,6,6,7,7,7,6,4,4,5,5,6,7,6,3,5,6,5,7,6,6,7,7,7
199,5,6,3,6,5,6,6,5,4,6,5,6,6,6,5,6,1,6,7,6,6,7,5,6,6,3
200,6,4,6,5,4,4,7,6,4,4,3,5,6,6,5,6,7,5,5,5,5,6,4,6,5,7
201,6,6,6,5,5,4,6,6,2,5,2,5,5,6,6,6,6,5,5,5,5,6,6,4,5,6
202,5,6,5,4,3,5,4,6,1,7,4,5,6,5,6,5,3,5,5,5,6,5,6,6,5,6
203,3,5,3,6,5,2,5,5,5,6,5,6,6,2,2,6,2,6,7,6,7,6,6,6,6,2
204,6,6,7,5,5,6,7,7,5,7,6,6,7,7,7,6,7,5,7,7,7,7,6,6,7,7
205,6,6,6,5,4,5,6,5,3,6,4,6,6,5,5,5,5,3,6,7,7,5,5,5,6,6
206,7,6,6,6,5,4,6,6,5,6,4,6,6,6,6,6,5,5,5,5,6,6,5,5,6,6
207,7,4,2,6,6,6,4,5,2,5,5,6,7,5,7,7,1,5,7,7,7,7,4,7,7,7
208,7,7,6,5,5,7,7,7,5,6,4,5,5,6,6,6,5,6,5,5,5,7,7,7,5,6
209,7,7,3,3,6,4,7,7,1,6,5,7,7,3,4,6,3,6,6,6,7,7,7,7,7,6
210,7,7,6,5,6,7,7,7,5,6,6,5,6,5,6,6,4,5,5,4,6,6,6,6,5,6
211,6,6,4,3,6,6,7,4,2,6,3,7,7,7,7,3,6,2,5,4,5,6,6,6,6,6
212,7,7,7,4,4,7,7,7,4,7,4,7,4,7,7,6,5,5,4,4,4,7,7,7,5,7
213,6,5,2,5,5,6,7,6,3,6,3,3,5,2,4,6,3,4,5,5,5,6,6,5,5,7
214,7,6,6,6,5,5,5,5,4,6,5,5,6,6,6,6,6,4,6,6,6,6,6,6,6,6
215,6,6,5,5,5,5,5,6,4,5,4,5,6,4,5,6,4,5,5,6,6,5,5,5,6,6
216,5,6,5,5,4,6,6,6,3,2,5,6,6,4,3,5,3,5,5,5,5,5,6,6,6,7
217,7,6,6,4,6,5,7,7,4,6,4,4,5,2,5,5,4,4,6,5,5,7,5,6,7,7
218,7,7,6,7,4,5,6,7,4,7,4,7,6,6,6,6,7,4,6,4,6,7,6,7,4,7
219,4,5,3,6,6,4,6,6,3,5,3,5,3,4,3,6,6,5,5,6,4,6,4,5,6,5
220,6,6,4,5,3,4,6,6,2,5,2,4,6,4,6,3,5,5,6,6,6,6,4,4,6,6
221,6,5,5,6,5,5,6,6,3,7,6,4,6,5,4,7,2,7,6,7,7,5,7,6,7,4
222,7,6,4,5,5,5,7,7,3,6,5,6,6,4,3,6,4,4,6,7,7,6,6,7,7,7
223,5,6,4,5,4,4,4,4,4,4,5,5,5,4,4,5,3,5,5,7,6,3,4,5,5,5
224,6,6,5,5,4,5,7,6,5,6,4,6,5,6,5,5,5,5,5,4,5,5,6,6,5,5
225,7,7,3,6,5,6,7,7,4,6,4,6,7,6,7,7,1,6,7,7,7,2,6,7,6,7
226,4,6,3,5,4,4,6,6,2,6,2,6,6,6,6,6,5,3,6,6,6,6,6,6,7,4
227,6,6,5,6,4,6,7,6,5,4,4,5,6,5,5,7,4,4,6,7,7,7,7,7,7,6
228,6,6,4,6,4,5,5,5,5,5,4,3,5,6,3,6,3,3,5,4,5,6,6,7,5,6
229,6,7,3,2,5,5,7,6,1,7,5,6,4,7,6,6,7,5,6,6,5,7,7,5,5,6
230,7,6,7,4,5,5,7,7,5,6,6,7,6,6,5,6,2,6,6,7,7,7,7,7,7,7
231,6,4,5,4,3,5,4,6,3,5,4,5,5,6,6,4,6,5,6,6,5,6,6,6,5,6
232,7,7,6,6,5,5,7,7,3,6,5,5,6,6,4,4,3,6,6,6,6,7,7,7,6,7
233,5,4,3,3,5,5,7,7,3,7,3,5,5,7,7,6,6,2,4,6,5,6,7,6,6,6
234,7,7,6,6,5,6,7,7,6,6,4,5,5,5,5,6,5,5,6,6,6,6,6,6,5,6
235,6,6,4,4,4,6,6,6,2,6,5,5,5,4,4,4,4,4,6,6,5,6,5,6,5,6
236,7,5,2,7,6,4,6,7,4,5,5,4,5,5,6,6,3,7,6,6,7,7,7,7,7,6
237,7,5,7,4,3,4,6,6,2,7,3,3,5,7,6,3,7,5,7,7,7,7,6,5,7,7
238,7,6,1,4,4,6,6,7,7,7,7,1,7,1,4,7,4,7,5,7,7,4,7,7,7,4
239,6,5,4,4,5,4,4,6,3,4,2,3,6,5,6,6,5,4,5,7,6,7,4,5,4,5
240,6,7,6,5,5,6,7,7,3,6,4,6,6,5,6,5,6,1,6,6,6,6,6,6,5,6
241,6,5,4,4,5,5,7,6,3,5,5,5,6,4,5,5,4,5,5,5,7,5,6,7,5,6
242,6,5,6,5,5,5,5,5,4,6,3,4,5,6,6,5,6,5,5,5,5,5,5,5,5,5
243,7,7,5,5,5,6,7,7,2,3,4,6,6,3,3,5,5,3,6,6,6,7,6,6,6,7
244,6,5,7,6,5,5,4,5,3,6,3,6,5,6,6,6,4,5,5,6,5,6,5,5,5,6
245,5,6,5,5,6,5,6,5,3,6,3,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
246,7,7,7,7,1,5,7,7,1,7,1,7,7,7,7,7,7,5,7,1,7,7,6,5,6,3
247,7,6,4,5,5,3,4,3,2,5,4,5,5,7,3,6,2,4,5,6,6,6,4,6,6,4
248,7,6,5,5,5,6,7,6,3,5,3,5,6,5,5,6,3,5,6,6,6,7,4,5,6,7
249,6,6,5,3,5,6,7,4,3,6,3,6,6,3,5,6,5,2,6,6,6,5,6,6,6,6
250,5,7,5,3,3,6,7,7,2,7,4,5,5,6,7,6,5,4,5,6,6,7,6,6,5,7
251,7,7,4,5,5,7,7,5,2,5,5,6,6,6,3,7,3,7,6,7,6,7,7,6,6,7
252,7,7,5,3,4,7,7,7,2,6,3,4,6,6,6,6,5,2,6,6,6,7,4,6,6,6
253,7,5,4,4,5,6,6,6,3,5,2,6,6,6,5,4,5,4,6,6,6,7,6,7,6,6
254,6,6,4,5,4,6,5,7,3,7,4,6,5,5,3,6,4,5,6,6,6,6,6,7,7,6
255,7,7,7,6,4,5,7,7,6,7,4,5,6,7,6,5,4,4,6,6,5,7,7,5,6,7
256,6,5,5,4,5,4,6,7,5,6,2,4,6,6,5,6,4,4,6,5,6,5,7,6,7,5
257,7,7,5,7,4,7,7,7,4,6,4,7,7,5,5,4,7,6,7,4,7,7,7,7,7,7
258,7,7,4,5,5,6,5,6,5,6,5,5,6,5,6,6,6,6,6,6,7,7,7,7,5,7
259,7,7,7,6,6,6,5,7,4,6,2,5,6,6,3,5,3,5,6,6,6,6,6,6,6,7
260,7,4,6,3,4,4,6,7,3,6,5,4,3,6,6,7,2,4,5,4,5,5,7,7,5,7
261,7,7,7,4,6,5,5,6,5,6,5,2,7,5,5,7,2,6,6,7,7,7,7,4,7,7
262,6,6,6,7,6,5,7,7,6,5,4,5,6,3,6,6,2,6,6,6,6,4,6,5,6,7
263,5,6,4,2,5,5,7,7,1,4,6,6,6,6,7,5,2,2,7,7,6,4,6,6,7,7
264,7,6,2,6,6,6,7,7,5,6,6,6,6,5,3,6,2,4,7,6,6,4,7,7,6,7
265,6,7,7,4,4,7,7,7,2,7,4,6,7,7,7,5,5,4,5,6,6,7,6,7,6,7
266,5,4,3,5,5,3,6,6,2,6,3,6,6,4,6,4,3,3,5,6,5,5,6,5,6,6
267,6,5,3,4,4,6,6,6,4,5,5,5,5,6,5,5,4,5,5,5,4,4,6,6,4,4
268,7,7,6,5,5,6,7,6,5,5,2,6,6,6,6,7,2,5,6,6,7,6,7,6,6,7
269,6,5,4,5,4,5,6,6,3,6,4,5,5,5,4,6,3,5,6,6,5,6,6,7,6,5
270,5,5,4,6,6,6,6,5,5,5,6,4,4,4,2,5,2,5,5,5,5,4,5,6,5,3
271,7,7,6,7,5,7,7,7,7,6,2,5,7,6,7,7,6,6,7,7,7,7,7,7,7,7
272,7,7,5,3,5,6,7,7,1,7,1,6,7,6,6,5,4,6,6,6,5,5,6,6,6,7
273,6,7,3,7,5,6,6,7,3,6,1,6,6,4,4,6,4,5,7,7,7,7,7,7,7,5
274,6,6,2,3,4,4,7,6,5,4,3,4,6,3,7,6,4,3,6,4,3,7,6,5,7,4
275,6,4,3,7,5,4,6,5,4,3,5,5,5,3,3,5,3,5,5,4,5,4,5,4,5,4
276,6,5,6,7,6,5,6,6,5,6,4,5,5,6,6,7,4,6,5,5,4,6,7,5,6,6
277,6,6,6,7,5,5,7,6,3,5,2,4,6,5,6,6,2,5,6,3,5,5,6,6,5,6
278,7,7,7,6,5,5,7,7,4,6,3,5,6,7,6,6,6,5,7,6,6,7,5,7,6,6
279,6,6,6,5,5,5,6,6,3,5,2,6,6,6,6,6,3,5,6,7,6,7,6,3,6,6
280,6,7,6,7,7,6,6,7,6,5,5,4,5,6,4,6,4,5,4,5,6,6,7,6,6,6
281,7,5,5,6,4,6,7,7,4,6,5,3,4,6,5,7,4,4,5,5,6,5,4,6,6,7
282,7,7,7,2,2,4,7,7,2,7,2,6,7,6,4,6,2,2,7,7,5,6,7,7,7,7
283,7,6,4,4,5,6,6,7,4,5,4,6,5,6,6,6,4,5,5,6,5,5,6,7,5,7
284,6,6,4,6,6,5,7,7,5,7,5,6,6,5,6,7,4,6,6,6,7,4,7,7,6,6
285,7,6,7,6,4,4,4,5,6,4,6,6,7,3,6,7,5,7,7,7,7,3,4,7,7,6
286,6,6,3,4,5,5,4,4,2,3,3,4,5,3,3,5,3,4,5,6,6,6,5,3,5,3
287,7,6,6,4,3,5,6,7,3,4,4,4,6,7,7,6,7,6,7,5,6,7,6,7,6,7
288,6,6,6,5,3,3,7,6,3,6,3,4,7,5,7,7,2,7,7,7,7,7,4,3,7,6
289,6,6,3,6,4,4,5,6,4,3,4,2,5,4,5,6,3,6,5,5,5,3,7,5,7,4
290,6,5,6,6,6,4,7,5,5,6,5,4,4,5,6,6,5,5,5,5,5,6,5,7,6,6
291,6,6,6,7,6,5,7,6,4,5,4,6,6,5,5,5,6,3,3,6,7,4,5,6,6,7
292,6,6,5,5,5,6,6,6,3,6,3,5,5,6,5,6,3,4,5,5,5,7,6,6,6,6
293,7,7,5,3,5,6,7,7,3,4,6,6,7,3,3,5,3,3,6,5,6,3,7,7,6,7
294,7,6,4,3,4,6,7,6,2,5,3,5,2,6,7,5,5,5,5,6,5,7,5,6,6,6
295,7,6,5,4,5,7,7,5,3,6,3,6,6,5,5,6,5,3,6,6,6,7,7,7,7,6
296,6,6,6,4,5,3,4,6,3,5,2,4,5,7,5,5,3,3,4,6,6,6,5,6,5,6
297,5,5,7,5,6,4,5,6,4,6,4,4,6,6,5,7,3,4,6,7,6,7,6,5,6,4
298,7,7,7,5,6,5,7,7,2,5,4,5,5,5,6,7,5,6,5,5,4,6,4,6,6,6
299,7,7,5,7,3,7,7,7,4,6,2,7,7,7,4,7,6,6,7,7,7,7,7,7,6,7
300,7,5,4,2,1,4,6,7,1,6,2,5,6,5,7,5,6,5,5,6,5,5,5,7,6,6
301,6,5,4,4,4,3,7,6,2,4,5,6,5,4,5,5,3,5,6,6,6,5,6,5,5,6
302,6,7,5,5,5,3,6,6,2,5,2,6,6,5,5,5,2,5,5,5,5,6,5,5,6,7
303,5,7,7,7,5,6,7,7,2,7,5,5,6,7,7,5,6,6,6,6,5,5,5,6,5,6
304,6,4,7,6,6,6,7,7,5,6,2,6,6,5,4,7,2,7,6,6,6,7,7,7,6,7
305,5,5,4,5,5,6,6,6,2,6,5,5,4,6,5,5,4,5,6,6,6,7,6,5,6,5
306,7,7,6,4,5,7,7,7,1,6,6,6,7,7,7,5,5,4,7,7,7,7,6,7,7,6
307,6,5,3,3,5,4,7,7,3,6,2,3,7,6,6,4,6,1,6,7,7,5,7,7,6,7
308,6,5,5,4,5,5,7,7,2,4,3,6,6,4,3,5,4,5,6,6,6,7,6,5,5,6
309,6,5,4,4,5,4,6,6,3,4,5,6,6,5,3,6,4,5,6,7,7,7,6,5,7,6
310,7,6,3,5,5,5,7,7,2,6,4,5,6,6,6,5,3,5,6,5,6,7,6,6,6,5
311,6,6,3,5,6,5,6,6,2,6,5,5,6,3,6,6,6,6,6,6,6,6,5,6,6,6
312,6,5,4,6,5,6,5,6,3,3,2,4,2,4,2,5,4,4,3,5,2,5,4,3,4,4
313,6,6,5,5,2,4,5,7,3,6,6,6,5,7,6,6,3,5,5,6,6,5,6,6,6,5
314,7,7,4,7,4,5,7,7,5,5,3,7,6,5,3,7,2,6,6,6,6,7,7,7,7,6
315,6,6,4,2,5,3,5,6,5,5,3,3,3,5,6,4,4,3,5,5,5,6,7,6,5,5
316,5,6,5,5,6,5,6,5,4,6,5,4,5,5,6,5,3,4,5,5,4,5,5,5,5,5
317,7,6,6,5,5,6,7,7,5,7,5,7,6,6,7,6,4,5,7,7,7,7,6,7,6,7
318,6,6,5,5,5,5,5,7,6,5,4,5,6,5,6,5,2,4,5,5,5,5,5,5,5,6
319,6,7,5,4,3,3,7,6,2,3,5,1,3,5,6,7,2,6,6,5,7,5,6,7,7,7
320,7,5,4,6,4,4,7,7,3,5,1,7,7,6,5,6,4,5,4,4,4,7,7,5,5,5
321,7,7,5,4,4,6,7,7,5,7,5,6,6,6,6,6,1,6,6,6,6,7,6,6,6,7
322,6,5,4,7,7,3,7,6,7,5,3,2,5,6,6,7,6,6,5,4,6,7,5,3,6,4
323,6,7,6,5,5,5,6,6,4,6,6,6,7,6,6,5,4,5,6,6,6,6,6,6,6,7
324,7,7,4,6,5,6,6,7,4,4,2,6,6,4,3,5,4,5,7,7,7,6,7,6,5,7
325,6,7,3,5,5,5,7,7,2,5,2,5,6,6,3,7,2,4,5,7,7,5,6,5,6,5
326,3,4,7,5,4,5,7,6,5,3,4,7,7,5,6,6,6,3,6,5,5,7,7,7,6,5
327,7,7,4,5,6,6,7,7,5,6,6,6,7,5,5,5,3,5,5,6,6,7,7,7,6,7
328,7,7,4,7,7,7,7,7,5,7,7,7,7,6,6,7,1,4,7,7,7,3,7,7,7,7
329,7,7,6,4,4,7,7,7,1,7,3,4,6,7,7,7,3,6,7,6,7,7,7,6,7,7
330,7,4,4,3,5,5,4,4,2,6,5,3,6,2,5,3,1,3,5,3,4,4,5,6,4,4
331,7,7,7,4,5,6,5,7,2,7,6,6,6,7,7,6,6,2,6,6,6,7,7,5,7,7
332,6,6,7,6,7,4,6,7,3,6,4,6,7,6,6,7,5,3,6,6,6,4,5,6,7,6
333,6,6,5,5,5,5,6,6,4,3,3,4,5,4,5,4,3,5,5,5,5,6,3,5,5,6
334,7,6,5,5,5,7,7,7,2,6,4,5,6,5,2,3,3,4,7,7,7,7,7,7,7,7
335,7,7,5,6,4,6,6,6,5,5,4,6,6,5,4,5,3,4,5,5,6,5,6,7,5,6
336,5,5,6,5,5,5,6,6,5,7,4,5,6,7,7,7,4,5,5,6,5,6,5,6,6,4
337,7,7,5,6,2,5,6,7,2,6,4,5,6,6,4,5,4,4,7,6,6,6,6,6,5,6
338,5,4,3,6,2,2,3,3,2,3,6,2,5,2,7,6,3,6,5,6,6,5,3,2,6,5
339,6,5,3,5,5,5,7,7,5,3,5,5,5,3,3,7,2,6,6,6,6,3,6,6,5,7
340,6,5,5,7,6,6,6,7,6,4,6,5,6,6,3,6,3,5,7,6,7,7,7,6,6,5
341,7,5,7,7,4,5,7,7,6,7,6,6,5,7,7,7,6,7,5,4,5,7,7,5,7,5
342,7,5,4,6,6,7,7,7,4,6,5,7,7,7,7,7,2,7,7,7,7,5,5,5,7,7
343,6,5,6,7,6,5,7,7,5,7,5,2,7,7,7,7,4,6,7,7,7,7,6,5,7,7
344,7,7,7,6,4,7,7,7,2,7,4,5,7,5,3,7,7,4,7,7,7,7,6,7,7,7
345,6,4,6,5,1,3,7,7,5,6,5,6,6,7,7,5,7,5,6,6,5,7,3,6,4,7
346,6,5,5,5,4,5,5,6,4,5,2,4,5,5,5,5,3,4,5,5,5,5,5,6,6,7
